driverId,lap,stop,time,duration,Season,Round
stroll,17,1,14:27:31,23.509,2022,20
perez,23,1,14:35:10,24.892,2022,20
latifi,23,1,14:36:14,23.826,2022,20
mick_schumacher,24,1,14:37:37,23.679,2022,20
max_verstappen,25,1,14:37:51,22.487,2022,20
leclerc,28,1,14:42:33,22.193,2022,20
hamilton,29,1,14:43:26,23.194,2022,20
sainz,29,1,14:43:52,23.469,2022,20
tsunoda,29,1,14:44:16,22.468,2022,20
norris,31,1,14:47:02,22.585,2022,20
ocon,33,1,14:49:47,22.343,2022,20
russell,34,1,14:50:27,22.795,2022,20
vettel,38,1,14:57:10,22.534,2022,20
albon,38,1,14:57:16,23.182,2022,20
kevin_magnussen,38,1,14:57:34,23.722,2022,20
bottas,39,1,14:58:09,23.863,2022,20
alonso,40,1,14:59:30,23.159,2022,20
gasly,40,1,15:00:02,29.168,2022,20
stroll,40,2,15:00:20,23.119,2022,20
ricciardo,44,1,15:05:25,22.280,2022,20
zhou,45,1,15:07:02,24.218,2022,20
latifi,52,2,15:17:55,24.039,2022,20
russell,69,2,15:39:22,23.118,2022,20
albon,4,1,15:10:31,24.361,2022,21
max_verstappen,7,1,15:15:34,30.942,2022,21
leclerc,7,1,15:15:42,30.080,2022,21
alonso,14,1,15:24:40,23.478,2022,21
zhou,16,1,15:27:16,24.332,2022,21
sainz,17,1,15:28:17,25.206,2022,21
gasly,19,1,15:31:04,23.460,2022,21
tsunoda,20,1,15:32:36,23.287,2022,21
latifi,20,1,15:32:40,28.807,2022,21
leclerc,21,2,15:34:01,23.172,2022,21
perez,23,1,15:35:54,22.869,2022,21
max_verstappen,23,2,15:36:31,31.682,2022,21
russell,24,1,15:37:06,23.521,2022,21
norris,24,1,15:37:31,29.338,2022,21
bottas,24,1,15:37:32,23.908,2022,21
ocon,24,1,15:37:35,23.868,2022,21
