driverId,position,time,number,Season,Round
tsunoda,16,100.99600000000001,5,2021,7
latifi,17,101.738,5,2021,7
russell,18,101.532,5,2021,7
mazepin,19,102.001,5,2021,7
mick_schumacher,20,102.872,5,2021,7
max_verstappen,1,72.767,1,2021,8
hamilton,2,73.718,1,2021,8
norris,3,74.772,1,2021,8
perez,4,75.588,1,2021,8
bottas,5,76.145,1,2021,8
stroll,6,77.559,1,2021,8
alonso,7,78.154,1,2021,8
russell,8,78.529,1,2021,8
ricciardo,9,79.08500000000001,1,2021,8
tsunoda,10,79.22800000000001,1,2021,8
sainz,11,79.536,1,2021,8
vettel,12,79.76,1,2021,8
raikkonen,13,80.271,1,2021,8
leclerc,14,80.376,1,2021,8
ocon,15,80.71600000000001,1,2021,8
mazepin,16,81.215,1,2021,8
mick_schumacher,17,81.602,1,2021,8
giovinazzi,18,83.17,1,2021,8
latifi,19,115.792,1,2021,8
gasly,20,123.661,1,2021,8
max_verstappen,1,70.031,2,2021,8
hamilton,2,70.511,2,2021,8
norris,3,71.113,2,2021,8
perez,4,71.136,2,2021,8
bottas,5,71.634,2,2021,8
stroll,6,71.745,2,2021,8
alonso,7,72.211,2,2021,8
russell,8,72.909,2,2021,8
ricciardo,9,72.863,2,2021,8
tsunoda,10,73.388,2,2021,8
sainz,11,73.64,2,2021,8
vettel,12,73.886,2,2021,8
raikkonen,13,73.895,2,2021,8
ocon,14,74.03,2,2021,8
mazepin,15,74.069,2,2021,8
mick_schumacher,16,74.258,2,2021,8
giovinazzi,17,73.034,2,2021,8
leclerc,18,94.842,2,2021,8
latifi,19,93.471,2,2021,8
max_verstappen,1,69.834,3,2021,8
hamilton,2,70.045,3,2021,8
norris,3,70.768,3,2021,8
perez,4,70.891,3,2021,8
bottas,5,71.394,3,2021,8
stroll,6,71.486,3,2021,8
alonso,7,72.05199999999999,3,2021,8
russell,8,72.054,3,2021,8
ricciardo,9,72.114,3,2021,8
tsunoda,10,72.095,3,2021,8
sainz,11,72.358,3,2021,8
vettel,12,72.43,3,2021,8
raikkonen,13,72.626,3,2021,8
ocon,14,72.752,3,2021,8
